Compiled LZX Castle MOUSER BOM;;;;;;;;;;;;
Line Item;Quantity;Manufacturer;Manufacturer P/N;Vendor;Vendor P/N;Description;Value;Package;Part Type;Assembly Location;Substitute Part;Links
1;47;KOA Speer;MF1/4DCT52R4990F;Mouser;660-MF1/4DCT52R4990F;Metal Film Resistors - Through Hole 1/4W 499 ohm 1% 500 OHM 1%;499;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/KOA-Speer/MF1-4DCT52R4990F?qs=%2Fha2pyFadujx107AAlVRuugplMnSWEeemmOzv%2FrwnjDY3xM2khlsPcssrIU24RLw
2;116;KOA Speer;MF1/4DCT52R1001F;Mouser;660-MF1/4DCT52R1001F;Metal Film Resistors - Through Hole 1Kohms 1% 100PPM;1K;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/KOA-Speer/MF1-4DCT52R1001F?qs=%2Fha2pyFadujx107AAlVRunDZ5yxoA6p7eXGU1nmWTzWdRvgmWaRbYjxoSN%252BUI%252BGJ
3;27;KOA Speer;MF1/4DCT52R3901F;Mouser;660-MF1/4DCT52R3901F;Metal Film Resistors - Through Hole 3.9Kohms 1% 100PPM;3.9K;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/KOA-Speer/MF1-4DCT52R3901F?qs=%2Fha2pyFadujx107AAlVRundSJR1zmrGcVVCEPF5X6xYV4OFNue0uH5nLQGpYBt1b
4;8;KOA Speer;MF1/4DCT52R4991F;Mouser;660-MF1/4DCT52R4991F;Metal Film Resistors - Through Hole 4.99Kohms 1% 100PPM;4.99K;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/KOA-Speer/MF1-4DCT52R4991F?qs=%2Fha2pyFadujx107AAlVRuugplMnSWEeeSRciUmIAyiAgVb3f8PiCARiabZjcS22U
5;21;KOA Speer;MF1/4DCT52R1002F;Mouser;660-MF1/4DCT52R1002F;Metal Film Resistors - Through Hole 10Kohms 1% 100PPM;10K;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/KOA-Speer/MF1-4DCT52R1002F?qs=%2Fha2pyFadujx107AAlVRunDZ5yxoA6p7a8LIv62XQHN9wTYLDn97SmYJ64FD96jM
6;1;KOA Speer;MF1/4DCT52R4702F;Mouser;660-MF1/4DCT52R4702F;Metal Film Resistors - Through Hole 47Kohms 1% 100PPM;47K;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/KOA-Speer/MF1-4DCT52R4702F?qs=%2Fha2pyFadujx107AAlVRuugplMnSWEeeKfRkh06NnODHjgNPEKTpdd4tnAUoGmQe
7;2;KOA Speer;MF1/4DCT52R4992F;Mouser;660-MF1/4DCT52R4992F;Metal Film Resistors - Through Hole 49.9Kohms 1% 100PPM;49.9K;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/KOA-Speer/MF1-4DCT52R4992F?qs=%2Fha2pyFadujx107AAlVRuugplMnSWEeePL%2F1caF6FiyJsu5Q%2FpoxhXTFSbUs1kRj
8;27;KOA Speer;MF1/4DCT52R1003F;Mouser;660-MF1/4DCT52R1003F;Metal Film Resistors - Through Hole 100Kohms 1% 100PPM;100K;0;Through Hole;PCB Top;660-MF1/4D52R1003F;https://eu.mouser.com/ProductDetail/?qs=4ahRxIk2KLDGWfpp1vrRug%3D%3D
9;1;Yageo;MFR-25FRF52-4M7;Mouser;603-MFR-25FRF52-4M7;Metal Film Resistors - Through Hole 4.7M OHM 1/4W 1%;4.7M;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Yageo/MFR-25FRF52-4M7?qs=%2Fha2pyFadui%252BnL3Q99GBfnpqq%2FyAbRGp2PJ3VSDYzsDgIXzIB1EcWp3fbShPnETY
;;;;;;;;;;;;
10;1;Vishay / Sprague;1C10C0G470J050B;Mouser;75-1C10C0G470J050B;Multilayer Ceramic Capacitors MLCC - Leaded 47pF 50volts C0G 5% 5.0mm L/S;47p;0;Through Hole;PCB Top;;https://eu.mouser.com/ProductDetail/Vishay/1C10C0G470J050B?qs=%2Fha2pyFadujmNqQEH4t7%2F4Ntp%2FqUsL8pUUbwbPr08fkFDBXX3nzbPA%3D%3D
